Customer Name,Refractory,Lining type,campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature ©,Output (MT),Output + Next Hot Heel (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous,Carbon addition (Kg),SiMn addition (Kg),Pig iron addition (MT) ,Scrap (KG),Output (KG),Pig iron (KG),Lumps(%),Pellets(%),Fines(%),Pellets(kg),Lumps(Kg),Fines (Kg)
Godavari,SRM,NL,5,15,150,185,2.5,16.91,,0.38,19.79463415,,,16.7,16.7,12000,14520,,,,,,,5.416216216,0.001150138,,2.816176471,2.544117647,17.72365854,15,4709.189189,4800,110,270,,,,,21,69,10,69,,
Godavari,SRM,NL,5,16,185,160,2.5,15.24,,0.35,18.09390244,,,15.3,15.3,14520,11960,,,,,,,5.7375,0.001279264,,2.544117647,2.272058824,19.79463415,16.7,4485,4709.189189,100,250,,,,,21,69,10,69,,
Godavari,SRM,NL,5,17,160,160,2.5,15.49,,0.35,18.33780488,,,15.5,15.5,11960,12000,,,,,,,5.8125,0.001291667,,2.272058824,2,18.09390244,15.3,4500,4485,100,250,,,,,21,69,10,69,,
Godavari,SRM,NL,6,1,0,190,2.5,15.76,,0.425,18.68719512,,,15.8,15.8,0,13680,0,0,,,,,4.989473684,0.001154971,,6.625,6.294642857,0,0,4320,0,150,275,,,,,21,69,10,69,,
Godavari,SRM,NL,6,2,190,200,2.5,14.82,,0.4,17.71707317,,,15,15,13680,13160,,,,,,,4.5,0.001139818,,6.294642857,5.964285714,18.68719512,15.8,3948,4320,120,280,,,,,21,69,10,69,,
Godavari,SRM,NL,6,3,200,220,2.5,15.77,,0.42,18.68829268,,,15.8,15.8,13160,14000,,,,,,,4.309090909,0.001128571,,5.964285714,5.633928571,17.71707317,15,3818.181818,3948,120,300,,,,,21,69,10,69,,
Godavari,SRM,NL,6,4,220,180,2.4,15.35,,0.365,18.11012195,,,15.3,15.3,14000,14280,,,,,,,5.1,0.001071429,,5.633928571,5.303571429,18.68829268,15.8,4760,3818.181818,85,280,,,,,17,58,25,58,,
Godavari,SRM,NL,6,5,180,200,2.4,17.66,,0.37,20.42609756,,,17.2,17.2,14280,14280,,,,,,,5.16,0.001204482,,5.303571429,4.973214286,18.11012195,15.3,4284,4760,100,270,,,,,17,58,25,58,,
Godavari,SRM,NL,6,6,200,180,3.2,16.11,,0.35,19.66463415,,,16.7,16.7,14280,14120,,,,,,,5.566666667,0.00118272,,4.973214286,4.642857143,20.42609756,17.2,4706.666667,4284,100,250,,,,,17,58,25,58,,
Godavari,SRM,NL,6,7,180,190,3.2,14.53,,0.35,18.07926829,,,15.4,15.4,14120,13240,,,,,,,4.863157895,0.001163142,,4.642857143,4.3125,19.66463415,16.7,4181.052632,4706.666667,100,250,,,,,17,58,25,58,,
Godavari,SRM,NL,6,8,190,240,2.4,14.58,,0.39,17.37292683,,,14.7,14.7,13240,13440,,,,,,,3.675,0.00109375,,4.3125,3.982142857,18.07926829,15.4,3360,4181.052632,110,280,,,,,17,58,25,58,,
Godavari,SRM,NL,6,9,240,190,2.4,15.67,,0.4,18.46829268,,,15.6,15.6,13440,14400,,,,,,,4.926315789,0.001083333,,3.982142857,3.651785714,17.37292683,14.7,4547.368421,3360,100,300,,,,,17,58,25,58,,
Godavari,SRM,NL,6,10,190,300,2.4,16.17,,0.39,18.95829268,,,16,16,14400,15800,,,,,,,3.2,0.001012658,,3.651785714,3.321428571,18.46829268,15.6,3160,4547.368421,140,250,,,,,15.4,79,5.6,79,,
Godavari,SRM,NL,6,11,300,215,2.4,16.72,,0.34,19.45707317,,,16.4,16.4,15800,14560,,,,,,,4.576744186,0.001126374,,3.321428571,2.991071429,18.95829268,16,4063.255814,3160,120,220,,,,,15.4,79,5.6,79,,
Godavari,SRM,NL,6,12,215,195,2.4,17.83,,0.33,20.55682927,,,17.3,17.3,14560,15080,,,,,,,5.323076923,0.001147215,,2.991071429,2.660714286,19.45707317,16.4,4640,4063.255814,100,230,,,,,15.4,79,5.6,79,,
Godavari,SRM,NL,6,13,195,160,3.2,15.93,,0.3,19.43170732,,,16.5,16.5,15080,13160,,,,,,,6.1875,0.001253799,,2.660714286,2.330357143,20.55682927,17.3,4935,4640,100,200,,,,,15.4,79,5.6,79,,
Godavari,SRM,NL,6,14,160,170,3.2,16.05,,0.3,19.55365854,,,16.6,16.6,13160,13500,,,,,,,5.858823529,0.00122963,,2.330357143,2,19.43170732,16.5,4764.705882,4935,100,200,,,,,15.4,79,5.6,79,,
Godavari,SRM,NL,7,1,0,230,2.5,17.33,,0.34,20.16926829,,,17,17,0,15720,0,0,,,,,4.434782609,0.001081425,,6.625,6.111111111,0,0,4100.869565,0,130,210,,,,,15.4,79,5.6,79,,
Godavari,SRM,NL,7,2,230,225,2.5,15.09,,0.28,17.86536585,,,15.1,15.1,15720,13240,,,,,,,4.026666667,0.001140483,,6.111111111,5.597222222,20.16926829,17,3530.666667,4100.869565,100,180,,,,,15.4,79,5.6,79,,
Godavari,SRM,NL,7,3,225,180,2.5,15.68,,0.29,18.47292683,,,15.6,15.6,13240,13680,,,,,,,5.2,0.001140351,,5.597222222,5.083333333,17.86536585,15.1,4560,3530.666667,100,190,,,,,15.4,79,5.6,79,,
Godavari,SRM,NL,7,4,180,240,2.5,16.89,,0.3,19.6902439,,,16.6,16.6,13680,14080,,,,,,,4.15,0.001178977,,5.083333333,4.569444444,18.47292683,15.6,3520,4560,100,200,,,,,15.4,79,5.6,79,,
Godavari,SRM,NL,7,5,240,210,2.5,16.21,,0.36,19.06731707,,,16.1,16.1,14080,15360,,,,,,,4.6,0.001048177,,4.569444444,4.055555556,19.6902439,16.6,4388.571429,3520,140,220,,,,,15.4,79,5.6,79,,
Godavari,SRM,NL,7,6,210,175,2.5,15.62,,0.34,18.46195122,,,15.6,15.6,15360,12920,,,,,,,5.348571429,0.00120743,,4.055555556,3.541666667,19.06731707,16.1,4429.714286,4388.571429,120,220,,,,,15.4,79,5.6,79,,
Godavari,SRM,NL,7,7,175,200,2.5,17.45,,0.34,20.29121951,,,17.1,17.1,12920,15640,,,,,,,5.13,0.00109335,,3.541666667,3.027777778,18.46195122,15.6,4692,4429.714286,120,220,,,,,20.5,79.5,,79.5,,
Godavari,SRM,NL,7,8,200,180,2.5,14.91,,0.32,17.73463415,,,15,15,15640,13560,,,,,,,5,0.001106195,,3.027777778,2.513888889,20.29121951,17.1,4520,4692,110,210,,,,,20.5,79.5,,79.5,,
Godavari,SRM,NL,7,9,180,180,2.5,14.94,,0.3,17.73902439,,,15,15,13560,13680,,,,,,,5,0.001096491,,2.513888889,2,17.73463415,15,4560,4520,100,200,,,,,20.5,79.5,,79.5,,
Godavari,SRM,NL,8,1,0,280,2.5,14.92,,0.315,17.73573171,,,15,15,0,13440,0,0,,,,,3.214285714,0.001116071,,6.625,6.3359375,0,0,2880,0,130,185,,,,,20.5,79.5,,79.5,,
Godavari,SRM,NL,8,2,280,165,2.5,12.89,,0.28,15.6702439,,,13.3,13.3,13440,11840,,,,,,,4.836363636,0.001123311,,6.3359375,6.046875,17.73573171,15,4305.454545,2880,110,170,,,,,20.5,79.5,,79.5,,
Godavari,SRM,NL,8,3,165,180,2.5,13.01,,0.285,15.79109756,,,13.4,13.4,11840,12240,,,,,,,4.466666667,0.001094771,,6.046875,5.7578125,15.6702439,13.3,4080,4305.454545,110,175,,,,,20.5,79.5,,79.5,,
Godavari,SRM,NL,8,4,180,175,2.5,15.70,,0.28,18.47512195,,,15.6,15.6,12240,12080,,,,,,,5.348571429,0.001291391,,5.7578125,5.46875,15.79109756,13.4,4141.714286,4080,100,180,,,,,23,77,,77,,
