Customer Name,Refractory,Lining type,campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature,Output (MT),Output + Next Hot Heel (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous,Carbon addition (Kg),SiMn addition (Kg),Pig iron addition (MT) ,Scrap (KG),Output (KG),Pig iron (KG),Lumps(%),Pellets(%),Fines(%),Pellets(kg),Lumps(Kg),Fines (Kg)
Godavari,SRM,NL,17,11,,,1.6,14.21,,0.28,16.09,,,13.5,13.5,11320,11280,,,,,,,#DIV/0!,0.001196809,,3.32,2.99,19.5,16.3,#DIV/0!,#DIV/0!,100,180,,,,,15,83,2,83,,
Godavari,SRM,NL,17,12,,,1.6,17.84,,0.3,19.74,,,16.5,16.5,11280,10040,,,,,,,#DIV/0!,0.001643426,,2.99,2.66,16.09,13.5,#DIV/0!,#DIV/0!,100,200,,,,,15,83,2,83,,
Godavari,SRM,NL,17,13,,,1.6,18.1,,0.29,19.99,,,16.7,16.7,10040,12080,,,,,,,#DIV/0!,0.00138245,,2.66,2.33,19.74,16.5,#DIV/0!,#DIV/0!,100,190,,,,,15,83,2,83,,
Godavari,SRM,NL,17,14,,,1.6,15.55,,0.28,17.43,,,14.6,14.6,12080,13960,,,,,,,#DIV/0!,0.001045845,,2.33,2,19.99,16.7,#DIV/0!,#DIV/0!,100,180,,,,,15,83,2,83,,
Godavari,SRM,NL,18,1,0,,3,16.68,,0.28,19.96,,,15.4,16.9,0,12680,0,0,,,,,#DIV/0!,0.001332808,,6.63,2,0,0,#DIV/0!,0,100,180,,,,,15,83,2,83,,
Godavari,NRM,NL,19,1,0,345,3.5,14.48,1.5,0,19.48,0.18,1710,16.8,16.8,0,17360,0,0,,3700,520,,2.92,0.000967742,,6.63,6.56,0,0,3019.13,0,,,,,,,12,76,12,76,,
Godavari,NRM,NL,19,2,345,190,2.5,18.23,,0,20.73,0.24,1680,15.1,17.4,17360,15040,3700,520,,3800,520,,5.49,0.001156915,,6.56,6.49,19.48,16.8,4749.47,3019.13,,,,,,,12,76,12,76,,
Godavari,NRM,NL,19,3,190,195,,17.56,2.3,0,19.86,0.15,1670,14.2,16.7,15040,13920,3800,520,,3800,520,,5.14,0.001199713,,6.49,6.43,20.73,15.1,4283.08,4749.47,,,,,,,12,76,12,76,,
Godavari,NRM,NL,19,4,195,205,,16.59,2.5,0,19.09,0.17,1665,14.1,16.1,13920,12880,3800,520,,3200,510,,4.71,0.00125,,6.43,6.36,19.86,14.2,3769.76,4283.08,,,,,,,12,76,12,76,,
Godavari,NRM,NL,19,5,205,185,,17.2,2,0,19.2,0.16,1695,16.1,16.1,12880,15320,3200,510,,3800,520,,5.22,0.001050914,,6.36,6.3,19.09,14.1,4968.65,3769.76,,,,,,,12,76,12,76,,
